Index,Date,ID,Name,Level
1,10/12/19,16,3Sum Closest,Medium
2,10/12/19,8,String to Integer (atoi),Medium
3,10/12/19,62,Unique Paths,Medium
4,10/12/19,6,ZigZag Conversion,Medium
5,10/12/19,94,Binary Tree Inorder Traversal,Medium
6,10/13/19,18,4Sum,Medium
7,10/13/19,102,Binary Tree Level Order Traversal,Medium
8,10/13/19,29,Divide Two Integers,Medium
9,10/13/19,50,"Pow(x, n)",Medium
10,10/13/19,74,Search a 2D Matrix,Medium
11,10/13/19,55,Jump Game,Medium
12,10/13/19,98,Validate Binary Search Tree,Medium
13,10/16/19,12,Integer to Roman,Medium
14,10/17/19,24,Swap Nodes in Pairs,Medium
15,10/17/19,36,Valid Sudoku,Medium
16,10/17/19,43,Multiply Strings,Medium
17,10/23/19,40,Combination Sum II,Medium
18,10/23/19,47,Permutations II,Medium
19,10/23/19,55,Jump Game,Medium
20,10/24/19,56,Merge Intervals,Medium
21,10/24/19,64,Minimum Path Sum,Medium
22,10/24/19,75,Sort Colors,Medium
23,10/24/19,78,Subsets,Medium
24,10/24/19,96,Unique Binary Search Trees,Medium
25,10/25/19,105,Construct Binary Tree from Preorder and Inorder Traversal,Medium
26,10/25/19,114,Flatten Binary Tree to Linked List,Medium
27,11/15/19,138,Copy List with Random Pointer,Medium
28,11/15/19,139,Word Break,Medium
29,11/15/19,142,Linked List Cycle II,Medium
30,12/25/19,148,Sort List,Medium
31,12/26/19,152,Maximum Product Subarray,Medium
32,12/26/19,200,Number of Islands,Medium
33,12/26/19,207,Course Schedule,Medium
34,1/7/20,215,Kth Largest Element in an Array,Medium
35,1/7/20,147,Insertion Sort List,Medium
36,1/7/20,179,Largest Number,Medium
37,1/8/20,263,Ugly Number,Easy
38,1/8/20,268,Ugly NUmber II,Medium
39,1/9/20,313,Super Ugly Number,Medium
40,1/9/20,347,Top K Frequent Elements,Medium
41,1/9/20,373,Find K Pairs with Smallest Sums,Medium
42,1/10/20,378,Kth Smallest Element in a Sorted Matrix,Medium
43,1/10/20,451,Sort Characters By Frequency,Medium
44,1/10/20,659,Split Array into Consecutive Subsequences,Medium
45,1/10/20,692,Top K Frequent Words,Medium
